status_id,status_text,label
191,"???? ???? ????? ????? ???? ????? ????? ????, ????? ????? ????? ",Agreeableness
409,"???, ????? ????? ?? ??? ?? ???????? ????? ???? ???? ????? ?????? ???? ??? ??, ????? ????? ??? ?????? ?? ????? ??? ???? ??????",Agreeableness
160,????? ????? ???????? ??? ??? ????? ????,Agreeableness
132,??? ???? ???? ?????? ????? ????? ??????? ??? ??????? ?? ??????? ????????? ??? ????? ??? ???? ?????? ??? ?? ????? ??? ?????????? ?? ???? ????? ?????? ??? ???? ????? ?????????? ?,Agreeableness
180,"??????? ???? ????????? ?? ?????????? ???? ???? ?? ????????? ??????? ????? ?? ???? ?????? ?????? ??, ???? ??? ?????? ?? ????? ??????? ???? ????? ??!",Agreeableness
379,???? ??? ???????? ???? ??? ????? ???? ??????? ??? ??? ????,Agreeableness
177,???? ???? ???? ???????? ??????? ???????? ?? ????? ???????? ??????? ???????? ??? ???????? ??,Agreeableness
486,???? ?????? ????? ???? ??????? ??? ?????? ??? ??????????? ??????? ???? ?????? ???? ?????? ???????,Agreeableness
255,"???? ???? ????? ??? ????? ??????? ???? ??,??? ??? ???? ????? ????? ??????? ????",Agreeableness
88,?????? ?????? ????? ?? ????? ?????? ???? ?????? ??????? ??? ?????? ???? ?????? ???? ???? ?,Agreeableness
238,"????? ??? ???????, ??? ????? ????????? ???? ??? ???? ?????????? ??????? ??? ???? ????? ????? ??? ???????? ?????? ????? ???? ???? ???????? ???, ??? ???? ????????, ????? ?????? ??????? ????? ??????",Agreeableness
236,"????????? ???? ??????? ?? ????????? ???? ???????????? ??????? ??? ??? ????? ???? ???? ??? ????? ??,??? ????? ????? ???????? ??  ????? ????????",Agreeableness
252,"???? ?????? ????? ????? ????, ?????? ???? ???? ????",Agreeableness
94,????? ????????? ???? ?????? ? ??? ??????? ????? ??? ????? ????????????? ?????? ????,Agreeableness
264,???????? ???? ?????? ????? ?????????? ???? ?????????,Agreeableness
126,"????? ???? ????? ????? ??? ???????? ?????? ??? ???? ?????, ???? ???????",Agreeableness
356,?? ???? ?? ????? ?????? ??????? ?? ???? ???? ???? ???? ?? ??? ??? ????? ????? ???? ?????? ???????,Agreeableness
299,??? ???? ??? ?????... ???? ?????? ??????? ???? ?????? ?????? ????????,Agreeableness
75,"????? ?????? ??????,??????? ????? ?? ???? ????? ??? ??????????? ??? ??????????? ?????? ???? ???? ???? ?????? ????? ???+ ???? ???? ???",Agreeableness
272,??????? ??? ?? ??????? ?? ???? ?????? ????? ?? ?????? ??? ??? ????? ????? ???,Agreeableness
79,????? ??? ??? ????? ???? ????? ??????? ????? ???? ??? ?? ?????? ??? ????? ???? ????,Agreeableness
207,"??? ?????? ??????? ?????????? ????? ???? ????? ?????? ????? ??? ?????? ???? ?????? ???, ???? ????? ?? ?????? ????? ???? ??? ????? ??????? ??????? ???????? ????? ???? ???? ???? ???",Agreeableness
453,"??????? ?????????? ????? ?????? ?????????,??????? ???? ????????????, ??? ?????????? ?????? ??? ???? ???????? ???",Agreeableness
178,????? ?????? ????? ????? ???? ???? ??????? ?? ??????? ?????????,Agreeableness
258,"????? ???? ????? ?????? ??? ???? ????? ???! ???? ?????! ???? ????? - ?? ???? ?? ??????, ????? ????? ??????!",Agreeableness
162,????? ?? ??????? ????? ????????? ???? ???? ???? ????????,Agreeableness
